ACCOLATE,Zafirlukast,Asthma: Chronic urticaria (off-label use):
ACCURETIC,Quinapril-hydrochlorothiazide,Hypertension:
ACEPHEN,Acetaminophen,Pain or fever: daily
ACETADOTE,Acetylcysteine,Acetaminophen overdose: Diagnostic bronchogram: Adjuvant therapy in respiratory conditions:
ACTIGALL,Ursodeoxycholic acid,"Gallstone prevention post-bariatric surgery (off-label use): Primary biliary cirrhosis (Urso, Urso Forte): Gallstone dissolution (Actigall): Gallstone prevention (Actigall):"
ACTIQ,Fentanyl,Surgery: Chronic pain management (opioid-tolerant patients only): Pain management: Breakthrough cancer pain: 
ACTIVELLA,Estradiol-norethindrone,Osteoporosis prevention: General dosing guidelines: Vasomotor symptoms associated with menopause: Hypoestrogenism: Vulvar and vaginal atrophy associated with menopause:
ACTONEL,Risedronate,"Bone loss associated with androgen deprivation therapy in prostate cancer, prevention (off-label use): Missed doses: Osteoporosis (males) treatment: Paget disease of bone: Osteoporosis (glucocorticoid-induced) prevention and treatment: Osteoporosis (postmenopausal):"
ACTOPLUS-MET,Pioglitazone-metformin,"Dosage adjustment with strong CYP2C8 inhibitors (eg, gemfibrozil): Dosage adjustment for hypoglycemia with combination therapy: Diabetes mellitus, type 2:"
ACTOS,Pioglitazone,"Initial: Dosage titration: Diabetes mellitus, type 2:  Dosage adjustment with strong CYP2C8 inhibitors (eg, gemfibrozil): Dosage adjustment for hypoglycemia with combination therapy:"
ACULAR LS,Ketorolac,Dosage adjustment for low body weight (&lt;50 kg): Pain management (acute; moderately severe) in patients 䊫50 kg: 
ADALAT CC,Nifedipine,Hypertension: High altitude pulmonary edema (off-label use): Raynaud's phenomenon (off-label use): Chronic stable or vasospastic angina: Ureteral calculi (distal) (off-label use):  Achalasia (off-label use): Hypertension emergency in pregnancy (systolic BP 䊫160 mm Hg or diastolic BP 䊫110 mm Hg) (off-label dose): Pulmonary hypertension (off-label use):
ADDERALL XR,Dextroamphetamine-amphetamine,ADHD: Narcolepsy:
ADRENACLICK,Epinephrine,"Note: As of May 1, 2016, ratio expressions of epinephrine concentrations are prohibited on drug labels. Ampules, vials, and syringes of epinephrine with ratio expressions may, however, remain in inventory until replaced by products with revised labeling. Therefore, the ratio expression of 1:1,000 is equivalent to 1 mg/mL and 1:10,000 is equivalent to 0.1 mg/mL (ISMP 2015). Acute severe asthma unresponsive to inhaled beta-agonist (off-label use): Hypotension/shock: Hypersensitivity reaction (eg, anaphylaxis):  Asystole/pulseless arrest, pulseless VT/VF (ACLS [Neumar 2010]): Mydriasis during intraocular surgery, induction and maintenance (product specific): Bradycardia (symptomatic; unresponsive to atropine or pacing):"
AIRDUO RESPICLICK,Fluticasone-salmeterol,Asthma: COPD:
ALDACTAZIDE,Hydrochlorothiazide-spironolactone,Couldn't get indication.
ALDACTONE,Spironolactone,"Acne vulgaris (females) (off-label use): Hypertension (alternative agent): Edema: Note:  Hirsutism  Primary Heart failure: Ascites, due to cirrhosis (off-label dose):"
ALLEGRA,Fexofenadine,Upper respiratory allergies:  Chronic idiopathic urticaria (off-label use):
ALLEGRA-D 12,Fexofenadine-pseudoephedrine,Seasonal allergic rhinitis
AMARYL,Glimepiride,"Diabetes mellitus, type 2"
